"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",
"1639353658	3063fd20-83ba-4716-9a5e-07fcea584f06	10903ecd-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.656533	-82.94925			0.0	0.0	23.0	0.0	2012-08-01T02:00Z	1	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639353185	3063fd20-83ba-4716-9a5e-07fcea584f06	10903ecc-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.656483	-82.949317			0.0	0.0	26.1	0.0	2012-08-01T02:00Z	1	8	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639352775	3063fd20-83ba-4716-9a5e-07fcea584f06	109017bc-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.707433	-82.89495			0.0	0.0	14.9	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639352333	3063fd20-83ba-4716-9a5e-07fcea584f06	109017bb-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.707483	-82.894983			0.0	0.0	15.1	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639351782	3063fd20-83ba-4716-9a5e-07fcea584f06	109017ba-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.70055	-82.91925			0.0	0.0	16.9	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID"
"1639351370	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b9-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.700667	-82.919283			0.0	0.0	17.7	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639350887	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b8-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.703133	-82.925			0.0	0.0	19.5	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639350487	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b7-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.703133	-82.925			0.0	0.0	20.3	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639349969	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b6-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.695017	-82.9336			0.0	0.0	18.7	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639349501	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b5-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.695017	-82.9336			0.0	0.0	19.5	0.0	2012-07-31T02:00Z	31	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
