RSK,Sex,Read 1,Read 2,Age,TL,TL_Class,DW,W,Year,Month,Day,Season,Radius,Edge
19,F,6,5,5,430,430,295,367.49,2002,10,13,Spring,1.48,BT
22,F,5,5,5,420,420,275,336.58,2002,10,13,Spring,1.6,NO
41,F,7,6,6,463,460,320,482.15,2002,10,13,Spring,1.96,BO
42,M,4,4,4,315,310,195,114.31,2002,10,13,Spring,1.14,NT
43,F,6,6,6,435,430,315,444.15,2002,10,13,Spring,1.79,
70,F,8,7,7,480,480,315,475.8,2002,10,12,Spring,2.04,NO
72,F,8,7,7,460,460,320,479.56,2002,10,12,Spring,1.75,NO
73,F,7,8,7,460,460,320,442.28,2002,10,12,Spring,2.03,NO
74,M,5,4,4,350,350,240,198.73,2002,10,12,Spring,1.34,
75,F,8,7,7,480,480,320,497.81,2002,10,12,Spring,2.04,
80,F,0,0,0,90,90,60,3.2,2002,10,12,Spring,0.22,
83,F,7,6,6,445,440,290,422.32,2002,10,12,Spring,1.84,
85,M,4,4,4,375,370,240,217.29,2002,10,12,Spring,1.39,NO
109,M,2,2,2,258,250,153,63.6,2002,10,13,Spring,0.81,BT
111,F,6,5,5,410,410,280,350.47,2002,10,13,Spring,1.73,NT
112,M,5,5,5,385,380,245,281.02,2002,10,13,Spring,1.52,
113,M,4,5,4,360,360,250,235.31,2002,10,13,Spring,1.34,BO
119,M,3,4,4,365,360,240,224.63,2002,10,13,Spring,1.27,NO
120,F,5,5,5,370,370,256,215.48,2002,10,13,Spring,1.44,
121,M,5,5,5,415,410,270,299.19,2002,10,13,Spring,1.57,NO
122,F,6,5,5,415,410,280,305.48,2002,10,13,Spring,1.5,NT
123,F,8,7,7,485,480,320,483.48,2002,10,13,Spring,2.07,
124,M,5,6,5,410,410,250,269.54,2002,10,13,Spring,1.66,
125,M,6,6,6,430,430,280,334.41,2002,10,13,Spring,1.68,BO
126,M,4,5,5,415,410,270,338.44,2002,10,13,Spring,1.71,NO
128,F,3,3,3,320,320,220,157.69,2002,10,13,Spring,1.17,BO
147,F,7,7,7,470,470,320,519.43,2002,10,12,Spring,1.87,BO
149,F,6,7,6,465,460,305,432.59,2002,10,12,Spring,1.95,NT
150,F,4,3,3,350,350,240,204.78,2002,10,12,Spring,1.43,NT
152,M,5,5,5,385,380,235,264,2002,10,12,Spring,1.45,NO
153,F,4,4,4,375,370,245,247.73,2002,10,12,Spring,1.47,BT
158,F,7,6,6,470,470,306,457.05,2002,10,12,Spring,2.23,NO
159,F,8,7,7,495,490,320,458.27,2002,10,12,Spring,2.12,
160,M,5,4,4,365,360,240,187.75,2002,10,12,Spring,1.3,NO
161,M,5,4,4,356,350,250,227.52,2002,10,12,Spring,1.57,BT
162,F,8,7,7,465,460,330,483.17,2002,10,12,Spring,2.21,NT
163,M,3,4,4,350,350,230,172.35,2002,10,12,Spring,1.26,BT
164,F,6,6,6,465,460,310,441.11,2002,10,12,Spring,2,BT
171,M,5,4,5,389,380,250,222.53,2002,10,13,Spring,1.46,NT
172,M,4,4,4,360,360,255,255.57,2002,10,13,Spring,1.53,NO
175,M,3,3,4,355,350,230,183.66,2002,10,13,Spring,1.33,BT
176,F,5,6,5,440,440,295,443.11,2002,10,13,Spring,1.96,NT
177,F,7,7,7,450,450,320,546.19,2002,10,13,Spring,1.97,BT
179,M,5,5,5,370,370,250,264.7,2002,10,13,Spring,1.4,NT
181,M,6,5,5,390,390,245,230.2,2002,10,13,Spring,1.45,BT
214,F,4,4,4,425,420,290,336.32,2002,10,12,Spring,2.04,NO
215,M,5,5,5,380,380,255,246.34,2002,10,12,Spring,1.62,BT
216,F,5,5,5,440,440,304,459.43,2002,10,12,Spring,1.79,BO
217,F,7,7,7,480,480,310,473.82,2002,10,12,Spring,1.77,NO
221,F,7,7,7,476,470,325,516.36,2002,10,12,Spring,2.23,BO
222,F,6,7,7,496,490,322,575.94,2002,10,12,Spring,2.41,NO
223,F,7,6,6,475,470,330,554.02,2002,10,12,Spring,2.04,BT
224,M,2,2,2,256,250,175,89.18,2002,10,12,Spring,1,NO
237,F,0,0,0,108,100,72,5.51,2002,10,,Spring,0.28,
239,M,3,4,4,358,350,235,239.6,2002,10,13,Spring,1.3,BT
245,M,3,3,3,360,360,220,176.55,2002,10,12,Spring,1.25,BO
247,F,7,7,7,492,490,340,550.88,2002,10,,Spring,2.11,NT
251,F,6,6,6,450,450,315,482.86,2002,10,,Spring,1.91,NO
299,F,6,7,6,435,430,315,447.54,2002,10,12,Spring,2.39,NO
300,F,7,7,7,475,470,310,492.23,2002,10,12,Spring,2.12,BT
302,M,5,5,5,370,370,245,218.26,2002,10,12,Spring,1.51,BO
303,F,6,7,6,470,470,310,458.28,2002,10,12,Spring,2.01,BO
305,M,5,5,5,420,420,270,311.24,2002,10,12,Spring,1.6,BO
307,M,5,5,5,380,380,250,234.08,2002,10,,Spring,1.5,
318,F,7,7,7,465,460,330,538.7,2002,10,13,Spring,2.06,NO
322,M,0,0,0,101,100,70,5,2002,10,,Spring,0.26,
324,F,0,0,0,117,110,75,5.47,2002,10,,Spring,0.31,
328,F,5,6,6,465,460,310,469.92,2002,10,,Spring,2.02,BT
331,M,4,5,5,395,390,255,311.14,2002,10,,Spring,1.53,BT
332,M,3,3,3,315,310,185,111.68,2002,10,,Spring,1.23,NO
348,F,7,7,7,479,470,324,486.48,2002,10,12,Spring,1.91,BT
350,F,7,7,7,486,480,347,558.35,2002,10,12,Spring,2.23,BT
351,F,7,7,7,494,490,358,664.76,2002,10,12,Spring,2.12,NO
354,F,0,0,0,93,90,61,3.42,2002,10,,Spring,0.23,
355,M,0,0,0,102,100,60,3.5,2002,10,,Spring,0.26,
356,M,0,0,0,98,90,62,3.68,2002,10,,Spring,0.25,
373,M,3,3,3,312,310,202,125.02,2002,10,13,Spring,1.11,BT
376,M,0,0,0,108,100,70,4.64,2002,10,,Spring,0.28,
393,M,4,4,4,368,360,245,241.25,2002,10,13,Spring,1.34,BT
411,F,10,9,9,508,500,340,615.5,2002,10,13,Spring,2.21,BT
412,F,7,7,7,469,460,308,442.89,2002,10,13,Spring,2,NO
413,F,7,7,7,496,490,325,544.61,2002,10,13,Spring,2.26,BT
435,F,6,7,7,475,470,310,465.29,,,,Summer,1.95,NO
436,M,5,5,5,379,370,240,244.35,,,,Summer,1.46,NO
437,F,6,6,6,434,430,295,393.9,,,,Summer,2,BT
439,M,5,4,5,375,370,256,219.3,,,,Summer,1.54,BO
442,F,6,5,5,430,430,246,208.14,,,,Summer,1.47,NT
444,M,4,4,4,361,360,310,513.65,,,,Summer,2.04,BT
445,M,4,5,5,380,380,250,237.78,,,,Summer,1.63,NT
446,F,8,7,8,498,490,340,618.4,,,,Summer,2.08,BT
448,F,7,7,7,463,460,300,447.05,,,,Summer,1.89,BO
449,M,5,5,5,380,380,242,224.79,,,,,1.5,
451,M,4,5,5,416,410,273,312.23,,,,Summer,1.65,BT
455,F,8,8,8,501,500,340,615.35,,,,Summer,2.64,BT
456,M,5,6,5,369,360,240,205.56,,,,,1.44,
458,F,8,7,7,486,480,325,528.86,,,,Summer,1.93,BT
460,F,4,4,4,362,360,254,200.18,,,,Summer,1.43,BT
461,F,7,7,7,470,470,315,466.99,,,,Summer,1.84,NO
462,M,5,5,5,401,400,260,242.11,,,,Summer,1.77,BT
463,F,7,7,7,456,450,315,433.98,,,,Summer,1.77,BT
472,M,5,5,5,390,390,247,238.72,,,,,1.55,
480,F,6,6,6,460,460,305,431.13,,,,,1.93,
481,M,5,5,5,402,400,257,224.18,,,,Summer,1.43,BT
482,F,9,8,8,498,490,328,551.76,,,,Summer,2.17,BT
485,M,5,5,5,370,370,234,210.68,,,,Summer,1.47,NT
488,F,11,10,10,532,530,345,723.71,,,,Summer,2.3,BT
498,F,8,7,7,480,480,315,490.2,,,,Summer,1.91,BT
500,M,5,5,5,380,380,242,206.4,,,,,1.5,
504,M,4,4,4,362,360,230,194.22,,,,Summer,1.38,BT
505,M,5,5,5,376,370,241,229.11,,,,Summer,1.49,BT
506,F,6,6,6,475,470,304,488.93,,,,Summer,2.05,NO
507,M,5,5,5,371,370,240,231.23,,,,Summer,1.48,BO
508,M,5,5,5,383,380,239,237.48,,,,Summer,1.6,BT
509,F,6,6,6,478,470,312,543.99,,,,Summer,2.11,NO
510,F,6,6,6,470,470,308,415.59,,,,Summer,2.08,NO
519,F,5,5,5,446,440,305,478.98,,,,Summer,1.82,NO
526,M,6,5,5,370,370,235,207.11,,,,,1.44,
538,M,5,5,5,398,390,248,221.85,,,,Summer,1.38,BO
539,F,5,5,5,445,440,302,425.6,,,,Summer,1.93,NO
540,F,7,6,6,461,460,302,457.14,,,,Summer,1.8,NO
544,F,3,3,3,347,340,245,215.04,,,,Summer,1.24,NT
594,F,3,3,3,301,300,191,76.63,,,,Summer,0.97,BO
605,M,3,4,4,358,350,227,196.66,2002,8,14,Winter,1.08,NO
611,F,3,3,3,291,290,185,104.88,2002,8,15,Winter,1.1,BO
624,F,7,7,7,490,490,290,449.92,2002,8,14,Winter,1.97,BT
630,F,4,4,4,367,360,248,204.93,2002,8,14,Winter,1.35,NT
631,F,1,1,1,189,180,125,22.79,2002,8,14,Winter,0.68,NO
633,M,3,3,3,259,250,167,57.41,2002,8,14,Winter,0.93,BO
650,F,7,6,6,466,460,330,600.41,2002,8,15,Winter,1.75,BO
651,M,3,3,3,278,270,179,92.06,2002,8,15,Winter,0.82,NO
717,F,3,3,3,282,280,192,81.85,2002,8,15,Winter,1.12,BO
726,M,3,3,3,354,350,231,206.96,2002,8,14,Winter,1.45,NT
727,M,6,5,5,386,380,252,267.09,2002,8,14,Winter,1.59,BO
731,F,4,4,4,372,370,241,221.8,2002,8,14,Winter,1.39,BO
732,M,4,4,4,360,360,230,186.45,2002,8,14,Winter,1.5,NO
734,M,5,5,5,380,380,241,219.62,2002,8,14,Winter,1.56,BT
746,M,4,4,4,352,350,217,168.77,2002,8,14,Winter,1.38,BT
747,F,7,6,6,468,460,320,415.81,2002,8,14,Winter,1.94,BT
